2024-01-20 15:07:12,890: root: INFO: MyStrategy : Executing the initialize lifecycle method
2024-01-20 15:07:14,799: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-01-20 15:07:14,799: root: INFO: MyStrategy : Executing the before_market_opens lifecycle method
2024-01-20 15:07:14,799: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-01-20 15:07:14,799: root: INFO: MyStrategy : Executing the before_starting_trading lifecycle method
2024-01-20 15:07:14,815: root: INFO: [34mMyStrategy : Executing the on_trading_iteration lifecycle method at 2024-01-20 15:07:14[0m
2024-01-20 15:07:14,815: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-20 15:07:14,830: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-20 15:07:15,863: root: INFO: [32mNew market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status unprocessed was submitted.[0m
2024-01-20 15:07:15,868: root: INFO: [34mMyStrategy : Trading iteration ended at 2024-01-20 15:07:15[0m
2024-01-20 15:07:15,868: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-20 15:07:15,868: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-20 15:07:15,870: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-20 15:07:15,871: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-20 15:07:15,871: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-01-20 15:07:15,871: root: INFO: [32mFilled Transaction: buy 106.0 of SPY at 469.48999023 USD per share[0m
2024-01-20 15:07:15,871: root: INFO: market order of | 106.0 SPY buy | at price $563.3879882812499 of class bracket with status new was filled
2024-01-20 15:07:15,880: root: INFO: MyStrategy : [34mSleeping for 86400 seconds[0m
2024-01-20 15:07:15,880: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-01-20 15:07:15,880: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-01-20 15:07:15,880: root: INFO: [34mMyStrategy : The market is not currently open, skipping this trading iteration[0m
2024-01-20 15:07:15,880: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-20 15:07:15,880: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-20 15:07:15,880: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-20 15:07:15,880: root: INFO: Getting historical prices for SPY, 1 bars, 
2024-01-20 15:07:15,880: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-20 15:07:15,880: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-01-20 15:07:15,880: root: INFO: Getting historical prices for SPY, 1 bars, 
